,precision,recall,f1-score,support
arce (Aceraceae),1.0,0.8,0.8888888888888888,10.0
cedro (cedrus deodara),1.0,0.8,0.8888888888888888,10.0
eucalipto (eucalyptus globulus),1.0,0.9090909090909091,0.9523809523809523,11.0
pino (pinaceae),0.8461538461538461,1.0,0.9166666666666666,11.0
roble (quercus),0.8,1.0,0.8888888888888888,12.0
accuracy,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074
macro avg,0.9292307692307693,0.901818181818182,0.9071428571428571,54.0
weighted avg,0.9242165242165242,0.9074074074074074,0.9074808935920046,54.0
